date,site,variable,values
2017-06-30T22:00:00Z,A Guarda,sst,16.50666117
2017-06-30T22:00:00Z,A Guarda,airtemp,18.23995361
2017-06-30T22:00:00Z,A Guarda,chl,1.059461117
2017-06-30T22:00:00Z,Baiona,sst,16.91999422
2017-06-30T22:00:00Z,Baiona,airtemp,17.99752197
2017-06-30T22:00:00Z,Baiona,chl,27.40664673
2017-06-30T22:00:00Z,Cangas,sst,17.00666089
2017-06-30T22:00:00Z,Cangas,airtemp,18.68740234
2017-06-30T22:00:00Z,Cangas,chl,7.570437431
2017-06-30T22:00:00Z,Bueu,sst,16.95554944
2017-06-30T22:00:00Z,Bueu,airtemp,19.2675415
2017-06-30T22:00:00Z,Bueu,chl,6.631484985
2017-06-30T22:00:00Z,Camelle,sst,16.35110567
2017-06-30T22:00:00Z,Camelle,airtemp,17.39989624
2017-06-30T22:00:00Z,Camelle,chl,1.021956325
2017-06-30T22:00:00Z,A Coruña,sst,16.42221644
2017-06-30T22:00:00Z,A Coruña,airtemp,17.03685913
2017-06-30T22:00:00Z,A Coruña,chl,14.68621445
2017-07-01T22:00:00Z,A Guarda,sst,16.50166117
2017-07-01T22:00:00Z,A Guarda,airtemp,23.51781616
2017-07-01T22:00:00Z,A Guarda,chl,1.367895365
2017-07-01T22:00:00Z,Baiona,sst,16.929994
2017-07-01T22:00:00Z,Baiona,airtemp,23.23076782
2017-07-01T22:00:00Z,Baiona,chl,8.004666328
2017-07-01T22:00:00Z,Cangas,sst,17.02777133
2017-07-01T22:00:00Z,Cangas,airtemp,24.04125366
2017-07-01T22:00:00Z,Cangas,chl,4.550088882
2017-07-01T22:00:00Z,Bueu,sst,16.96999422
2017-07-01T22:00:00Z,Bueu,airtemp,24.88311157
2017-07-01T22:00:00Z,Bueu,chl,3.860725403
2017-07-01T22:00:00Z,Camelle,sst,16.50777222
2017-07-01T22:00:00Z,Camelle,airtemp,20.07683716
2017-07-01T22:00:00Z,Camelle,chl,2.838004112
2017-07-01T22:00:00Z,A Coruña,sst,16.84110489
2017-07-01T22:00:00Z,A Coruña,airtemp,21.29137573
2017-07-01T22:00:00Z,A Coruña,chl,13.97088242
2017-07-02T22:00:00Z,A Guarda,sst,16.784994
2017-07-02T22:00:00Z,A Guarda,airtemp,26.47457275
2017-07-02T22:00:00Z,A Guarda,chl,2.299640894
2017-07-02T22:00:00Z,Baiona,sst,17.19554967
2017-07-02T22:00:00Z,Baiona,airtemp,25.13277588
2017-07-02T22:00:00Z,Baiona,chl,6.463144779
2017-07-02T22:00:00Z,Cangas,sst,17.25555011
2017-07-02T22:00:00Z,Cangas,airtemp,26.09765015
2017-07-02T22:00:00Z,Cangas,chl,1.758648396
2017-07-02T22:00:00Z,Bueu,sst,17.14110478
2017-07-02T22:00:00Z,Bueu,airtemp,27.71865234
2017-07-02T22:00:00Z,Bueu,chl,3.455805779
2017-07-02T22:00:00Z,Camelle,sst,16.61666044
2017-07-02T22:00:00Z,Camelle,airtemp,23.52324829
2017-07-02T22:00:00Z,Camelle,chl,1.986373544
2017-07-02T22:00:00Z,A Coruña,sst,17.04666067
2017-07-02T22:00:00Z,A Coruña,airtemp,25.38848267
2017-07-02T22:00:00Z,A Coruña,chl,2.252587795
2017-07-03T22:00:00Z,A Guarda,sst,16.83499417
2017-07-03T22:00:00Z,A Guarda,airtemp,25.34624634
2017-07-03T22:00:00Z,A Guarda,chl,4.454622269
2017-07-03T22:00:00Z,Baiona,sst,17.21888289
2017-07-03T22:00:00Z,Baiona,airtemp,23.70958862
2017-07-03T22:00:00Z,Baiona,chl,6.191655159
2017-07-03T22:00:00Z,Cangas,sst,17.27110511
2017-07-03T22:00:00Z,Cangas,airtemp,23.89110718
2017-07-03T22:00:00Z,Cangas,chl,2.31354475
2017-07-03T22:00:00Z,Bueu,sst,17.17221633
2017-07-03T22:00:00Z,Bueu,airtemp,25.97704468
2017-07-03T22:00:00Z,Bueu,chl,3.539687157
2017-07-03T22:00:00Z,Camelle,sst,16.76554911
2017-07-03T22:00:00Z,Camelle,airtemp,26.76220093
2017-07-03T22:00:00Z,Camelle,chl,1.122936845
2017-07-03T22:00:00Z,A Coruña,sst,17.001105
2017-07-03T22:00:00Z,A Coruña,airtemp,28.82885132
2017-07-03T22:00:00Z,A Coruña,chl,2.225274086
2017-07-04T22:00:00Z,A Guarda,sst,16.9949945
2017-07-04T22:00:00Z,A Guarda,airtemp,19.59136353
2017-07-04T22:00:00Z,A Guarda,chl,9.540504456
2017-07-04T22:00:00Z,Baiona,sst,17.33554911
2017-07-04T22:00:00Z,Baiona,airtemp,19.04863892
2017-07-04T22:00:00Z,Baiona,chl,8.907017708
2017-07-04T22:00:00Z,Cangas,sst,17.38332689
2017-07-04T22:00:00Z,Cangas,airtemp,19.10109863
2017-07-04T22:00:00Z,Cangas,chl,1.424207926
2017-07-04T22:00:00Z,Bueu,sst,17.29888244
2017-07-04T22:00:00Z,Bueu,airtemp,19.74755249
2017-07-04T22:00:00Z,Bueu,chl,1.818410397
2017-07-04T22:00:00Z,Camelle,sst,16.95110444
2017-07-04T22:00:00Z,Camelle,airtemp,19.13668213
2017-07-04T22:00:00Z,Camelle,chl,1.490096092
2017-07-04T22:00:00Z,A Coruña,sst,17.09110489
2017-07-04T22:00:00Z,A Coruña,airtemp,20.56588135
2017-07-04T22:00:00Z,A Coruña,chl,3.674925804
2017-07-05T22:00:00Z,A Guarda,sst,16.859994
2017-07-05T22:00:00Z,A Guarda,airtemp,19.94414673
2017-07-05T22:00:00Z,A Guarda,chl,6.935422897
2017-07-05T22:00:00Z,Baiona,sst,17.16332711
2017-07-05T22:00:00Z,Baiona,airtemp,20.17632446
2017-07-05T22:00:00Z,Baiona,chl,6.292616844
2017-07-05T22:00:00Z,Cangas,sst,17.21999389
2017-07-05T22:00:00Z,Cangas,airtemp,21.65862427
2017-07-05T22:00:00Z,Cangas,chl,0.69550705
2017-07-05T22:00:00Z,Bueu,sst,17.139994
2017-07-05T22:00:00Z,Bueu,airtemp,23.05889282
2017-07-05T22:00:00Z,Bueu,chl,1.784874678
2017-07-05T22:00:00Z,Camelle,sst,16.88777144
2017-07-05T22:00:00Z,Camelle,airtemp,20.69375
2017-07-05T22:00:00Z,Camelle,chl,2.038089752
2017-07-05T22:00:00Z,A Coruña,sst,17.03554933
2017-07-05T22:00:00Z,A Coruña,airtemp,20.84029541
2017-07-05T22:00:00Z,A Coruña,chl,6.351630211
2017-07-06T22:00:00Z,A Guarda,sst,16.54832683
2017-07-06T22:00:00Z,A Guarda,airtemp,20.6708313
2017-07-06T22:00:00Z,A Guarda,chl,2.715075016
2017-07-06T22:00:00Z,Baiona,sst,16.93554978
2017-07-06T22:00:00Z,Baiona,airtemp,20.1552063
